19
Color index: 6.0, color rate: 0.4, trans_rate: 6.15
Color index: 6.4, color rate: 0.4, trans_rate: 6.15
Color index: 6.8, color rate: 0.4, trans_rate: 6.15
Color index: 7.2, color rate: 0.4, trans_rate: 6.15
Color index: 7.6, color rate: 0.4, trans_rate: 6.15
Color index: 8.0, color rate: 0.4, trans_rate: 6.15
Color index: 8.4, color rate: 0.4, trans_rate: 6.15
Color index: 8.8, color rate: 0.4, trans_rate: 6.15
Color index: 9.2, color rate: 0.4, trans_rate: 6.15
Color index: 9.6, color rate: 0.4, trans_rate: 6.15
Color index: 10, color rate: 0.4, trans_rate: 6.15
Color index: 11 errorper: 0.237210375827error: 24.466796875
Color index: 10.05, color rate: 0.05, trans_rate: 0.9
Color index: 10.1, color rate: 0.05, trans_rate: 0.9
Color index: 10.15, color rate: 0.05, trans_rate: 0.9
Color index: 10.2, color rate: 0.05, trans_rate: 0.9
Color index: 10.25, color rate: 0.05, trans_rate: 0.9
Color index: 10.3, color rate: 0.05, trans_rate: 0.9
Color index: 10.35, color rate: 0.05, trans_rate: 0.9
Color index: 10.4, color rate: 0.05, trans_rate: 0.9
Color index: 10.45, color rate: 0.05, trans_rate: 0.9
Color index: 10.5, color rate: 0.05, trans_rate: 0.9
Color index: 10.55, color rate: 0.05, trans_rate: 0.9
Color index: 10.6, color rate: 0.05, trans_rate: 0.9
Color index: 10.65, color rate: 0.05, trans_rate: 0.9
Color index: 10.7, color rate: 0.05, trans_rate: 0.9
Color index: 10.75, color rate: 0.05, trans_rate: 0.9
Color index: 10.8, color rate: 0.05, trans_rate: 0.9
Color index: 10.85, color rate: 0.05, trans_rate: 0.9
Color index: 10.9, color rate: 0.05, trans_rate: 0.9
Color index: 10.95, color rate: 0.05, trans_rate: 0.9
Color index: 11, color rate: 0.05, trans_rate: 0.9
Color index: 18 errorper: 0.924071668704error: 134.791990915
Color index: 11.35, color rate: 0.35, trans_rate: 5.15
Color index: 11.7, color rate: 0.35, trans_rate: 5.15
Color index: 12.05, color rate: 0.35, trans_rate: 5.15
Color index: 12.4, color rate: 0.35, trans_rate: 5.15
Color index: 12.75, color rate: 0.35, trans_rate: 5.15
Color index: 13.1, color rate: 0.35, trans_rate: 5.15
Color index: 13.45, color rate: 0.35, trans_rate: 5.15
Color index: 13.8, color rate: 0.35, trans_rate: 5.15
Color index: 14.15, color rate: 0.35, trans_rate: 5.15
Color index: 14.5, color rate: 0.35, trans_rate: 5.15
Color index: 14.85, color rate: 0.35, trans_rate: 5.15
Color index: 15.2, color rate: 0.35, trans_rate: 5.15
Color index: 15.55, color rate: 0.35, trans_rate: 5.15
Color index: 15.9, color rate: 0.35, trans_rate: 5.15
Color index: 16.25, color rate: 0.35, trans_rate: 5.15
Color index: 16.6, color rate: 0.35, trans_rate: 5.15
Color index: 16.95, color rate: 0.35, trans_rate: 5.15
Color index: 17.3, color rate: 0.35, trans_rate: 5.15
Color index: 17.65, color rate: 0.35, trans_rate: 5.15
Color index: 18.0, color rate: 0.35, trans_rate: 5.15
Color index: 18, color rate: 0.35, trans_rate: 5.15
Color index: 1 errorper: 0.870801239571error: -51.8856259204
Color index: 17.15, color rate: -0.85, trans_rate: -13.45
Color index: 16.3, color rate: -0.85, trans_rate: -13.45
Color index: 15.45, color rate: -0.85, trans_rate: -13.45
Color index: 14.6, color rate: -0.85, trans_rate: -13.45
Color index: 13.75, color rate: -0.85, trans_rate: -13.45
Color index: 12.9, color rate: -0.85, trans_rate: -13.45
Color index: 12.05, color rate: -0.85, trans_rate: -13.45
Color index: 11.2, color rate: -0.85, trans_rate: -13.45
Color index: 10.35, color rate: -0.85, trans_rate: -13.45
Color index: 9.5, color rate: -0.85, trans_rate: -13.45
Color index: 8.65, color rate: -0.85, trans_rate: -13.45
Color index: 7.8, color rate: -0.85, trans_rate: -13.45
Color index: 6.95, color rate: -0.85, trans_rate: -13.45
Color index: 6.1, color rate: -0.85, trans_rate: -13.45
Color index: 5.25, color rate: -0.85, trans_rate: -13.45
Color index: 4.4, color rate: -0.85, trans_rate: -13.45
Color index: 3.55, color rate: -0.85, trans_rate: -13.45
Color index: 2.7, color rate: -0.85, trans_rate: -13.45
Color index: 1.85, color rate: -0.85, trans_rate: -13.45
Color index: 1.0, color rate: -0.85, trans_rate: -13.45
Color index: 1, color rate: -0.85, trans_rate: -13.45
Color index: 15 errorper: 0.692591260718error: 40.0924053271
Color index: 1.7, color rate: 0.7, trans_rate: 11.7
Color index: 2.4, color rate: 0.7, trans_rate: 11.7
Color index: 3.1, color rate: 0.7, trans_rate: 11.7
Color index: 3.8, color rate: 0.7, trans_rate: 11.7
Color index: 4.5, color rate: 0.7, trans_rate: 11.7
Color index: 5.2, color rate: 0.7, trans_rate: 11.7
Color index: 5.9, color rate: 0.7, trans_rate: 11.7
Color index: 6.6, color rate: 0.7, trans_rate: 11.7
Color index: 7.3, color rate: 0.7, trans_rate: 11.7
Color index: 8.0, color rate: 0.7, trans_rate: 11.7
Color index: 8.7, color rate: 0.7, trans_rate: 11.7
Color index: 9.4, color rate: 0.7, trans_rate: 11.7
